PTHA,PSTA,PLEB,PREB,PKAC,PACC,PHED,PSPD,PPOE,PBRE,PEYE,PFSH,PLSH,PMSH,PRSH,PSSH,RATH,PCTH,PAGI,PSKI,PINJ,PTAK,PPBK,PRBK,PNEK,PFMK,PBTK,PHCL,SPSL,HELM,PHAN,PLHN,PRHN,PSLO,PTTO,PLFP,PTHP,PJMP,PCAR,PKPR,PSTR,PAWR,PDIS,PVIS,PFJS,PPOS,PLWS,PRWS,MRCT,PHGT,PWGT,PSLT
0,47,11,11,4,48,2,53,30,0,0,-1,0,-1,0,4,0,36,49,5,46,12,4,8,0,2,0,0,0,2,0,2,2,1,0,0,0,44,8,0,0,4,4,0,0,3,6,6,1,72,19,0
0,48,0,0,0,45,14,38,14,0,1,1,0,3,0,3,0,12,36,5,40,38,0,8,1,4,0,0,1,0,0,2,2,0,0,0,0,30,8,0,32,25,2,1,0,13,6,6,1,76,70,2
0,32,8,11,0,38,14,38,12,0,0,0,0,2,0,2,0,19,42,4,8,0,8,0,0,9,12,0,2,0,0,2,2,0,0,0,0,8,22,0,16,0,4,1,0,1,10,6,0,71,49,2
0,22,11,11,0,0,5,0,6,0,1,2,0,4,0,1,0,0,0,4,22,0,34,45,0,10,0,0,3,1,0,2,2,0,0,0,0,0,0,0,52,16,3,0,0,8,0,0,0,74,178,2
0,44,11,0,0,38,3,34,14,0,0,0,0,3,0,2,0,22,30,4,44,32,16,19,0,11,25,0,4,0,0,2,2,0,0,0,0,36,19,0,38,25,6,1,0,10,6,6,1,74,66,2
0,34,0,0,0,4,13,0,21,0,0,1,0,5,0,2,0,8,16,1,36,0,40,34,0,7,0,0,5,0,0,2,2,0,0,0,0,0,0,0,44,16,4,0,0,8,0,0,0,75,128,2
0,38,8,11,0,12,4,8,26,1,1,2,0,2,0,1,0,4,19,6,45,4,42,36,0,4,0,0,6,1,0,2,2,1,0,0,0,0,0,0,47,28,4,0,0,8,10,7,1,76,127,1
0,38,0,0,0,36,5,36,12,1,1,-1,0,-1,0,4,0,16,40,6,38,22,0,0,0,11,8,0,7,0,0,2,2,0,0,0,0,44,8,0,16,19,5,1,0,17,6,6,0,72,10,2
0,44,0,0,30,8,12,0,24,0,0,-1,0,-1,0,4,0,4,0,7,44,12,0,0,0,7,0,2,8,1,0,0,0,0,0,0,0,8,0,8,0,25,1,0,0,19,0,0,0,70,5,2
44,34,0,0,0,34,7,32,6,1,1,0,0,0,0,3,0,0,29,1,32,0,4,0,0,1,4,0,9,2,0,0,0,1,0,0,45,19,16,0,4,2,3,0,1,0,0,0,0,72,26,0
0,59,0,0,42,0,4,12,10,1,1,-1,0,-1,0,4,0,0,0,0,58,0,8,8,0,1,0,2,10,0,0,0,0,0,0,0,0,8,0,38,4,16,6,0,0,19,6,6,0,71,21,2
0,40,0,0,0,38,4,30,12,1,1,0,0,0,0,3,0,12,38,4,32,30,0,0,0,7,4,0,11,2,0,2,2,0,2,0,0,34,12,0,25,4,5,1,0,17,6,6,0,73,40,2
