PLDH,PLDL,PPOS,CAWT,KAWT,TAWT,PBWT,RBWT,ACWT,AGWT,TKWT,INWT,KPWT,SPWT,TPWT,BTWT,CTWT,STWT,JUWT,AWWT
92,43,0,0,0,33,0,0,3,5,0,0,0,10,27,0,0,0,0,22
90,40,1,14,0,0,3,0,10,14,0,0,0,16,0,20,6,4,0,13
79,40,2,10,0,0,8,20,7,6,0,0,0,7,0,10,10,8,0,14
93,42,3,0,0,0,0,0,14,14,0,0,0,14,0,5,27,3,9,14
83,40,4,0,0,0,15,21,5,5,0,0,0,5,0,5,20,8,3,13
96,40,5,0,0,0,30,25,6,3,0,0,0,3,0,0,0,15,0,18
95,40,6,0,0,0,27,30,7,2,0,0,0,3,0,0,0,15,0,16
96,40,7,0,0,0,30,30,5,2,0,0,0,2,0,0,0,15,0,16
95,40,8,0,0,0,27,30,7,2,0,0,0,3,0,0,0,15,0,16
96,40,9,0,0,0,30,25,6,3,0,0,0,3,0,0,0,15,0,18
90,41,10,0,0,0,0,0,16,9,28,0,0,13,0,0,0,21,0,13
90,41,11,0,0,0,0,0,16,9,28,0,0,13,0,0,0,21,0,13
90,41,12,0,0,0,0,0,14,5,33,0,0,5,0,0,0,30,0,13
88,40,13,0,0,0,0,0,16,9,30,0,0,15,0,0,0,14,0,16
93,40,14,0,0,0,0,0,15,7,35,0,0,9,0,0,0,14,0,20
88,40,15,0,0,0,0,0,16,9,30,0,0,15,0,0,0,14,0,16
90,40,16,0,0,0,0,0,16,14,12,0,0,18,0,0,8,4,10,18
88,40,17,0,0,0,0,0,16,10,18,0,0,20,0,0,4,5,7,20
86,40,18,0,0,0,0,0,16,9,24,0,0,17,0,0,2,10,4,18
95,46,19,0,55,0,0,0,0,0,0,0,40,0,0,0,0,0,0,5
95,46,20,0,40,0,0,0,0,0,0,0,55,0,0,0,0,0,0,5
