PTHA,PSTA,PLEB,PREB,PKAC,PACC,PHED,PSPD,PPOE,PBRE,PEYE,PFSH,PLSH,PMSH,PRSH,PSSH,RATH,PCTH,PAGI,PSKI,PINJ,PTAK,PPBK,PRBK,PNEK,PFMK,PBTK,PHCL,SPSL,HELM,PHAN,PLHN,PRHN,PSLO,PTTO,PLFP,PTHP,PJMP,PCAR,PKPR,PSTR,PAWR,PDIS,PVIS,PFJS,PPOS,PLWS,PRWS,MRCT,PHGT,PWGT,PSLT
0,47,11,0,4,48,3,53,30,0,0,-1,2,0,2,4,0,36,49,3,46,12,4,8,0,2,0,0,0,1,1,4,4,0,0,0,0,44,11,0,0,4,4,1,0,3,0,0,1,72,19,1
0,48,11,0,0,45,0,38,14,1,1,0,2,1,2,3,0,12,36,4,40,38,0,8,2,9,0,0,1,1,0,5,5,0,0,0,0,30,11,0,32,25,2,0,0,13,6,6,1,76,70,1
0,32,0,0,0,38,0,38,12,0,0,0,0,2,0,2,0,19,40,7,10,0,8,0,0,9,12,0,2,0,0,1,1,2,0,1,0,8,25,0,16,0,4,0,0,1,5,5,0,71,49,2
0,22,11,0,0,0,12,0,6,0,1,4,0,5,0,-1,0,0,0,5,22,0,34,45,0,9,0,2,3,0,0,3,3,0,0,0,0,0,3,0,52,16,3,0,0,8,6,6,0,74,178,1
0,44,10,10,0,37,3,33,14,1,1,0,1,2,1,2,0,22,30,1,44,32,16,19,0,11,25,2,4,2,0,2,2,1,0,0,0,36,22,0,41,20,6,0,0,10,5,5,1,74,66,2
0,34,11,0,0,4,12,0,21,0,1,3,3,4,3,0,0,8,16,7,36,0,40,34,0,10,0,0,5,1,0,3,3,1,0,0,0,0,3,0,44,16,4,0,0,8,0,0,0,75,128,1
0,38,0,2,0,12,2,8,26,1,1,3,2,4,2,0,0,4,19,6,45,4,42,36,0,11,0,0,6,0,0,4,4,2,0,0,0,0,3,0,47,28,4,0,0,8,6,6,1,76,127,0
0,38,0,0,0,36,5,36,12,1,1,-1,0,-1,0,5,0,16,40,5,38,22,0,0,0,9,8,0,7,1,0,1,1,0,0,0,0,44,11,0,16,19,5,1,0,17,6,6,0,72,10,2
0,44,0,0,30,8,8,0,24,1,1,0,0,-1,0,5,0,4,0,4,44,12,0,0,0,7,0,0,8,1,0,0,0,0,0,0,0,8,3,20,0,25,1,0,0,19,0,0,0,70,5,2
44,34,11,11,0,34,12,32,6,1,0,-1,0,0,0,4,0,0,29,7,32,0,4,0,0,1,4,0,9,1,0,0,0,1,0,0,45,19,19,0,4,2,3,0,1,0,3,0,0,72,26,0
0,59,0,0,42,0,11,12,10,0,0,0,0,0,0,4,0,0,0,1,58,0,8,8,0,2,0,2,10,0,0,0,0,0,0,0,0,8,3,38,4,16,6,0,0,19,0,0,0,71,21,2
0,40,7,0,0,38,0,30,12,0,1,0,0,1,0,3,0,12,38,4,32,30,0,0,0,1,4,0,11,3,0,4,4,1,0,0,0,34,15,0,25,4,5,1,0,18,8,6,0,73,40,0
0,36,1,0,0,0,0,8,13,0,0,3,0,4,0,0,0,4,8,2,16,0,36,38,0,11,0,4,12,0,0,3,3,0,0,0,0,0,3,0,40,12,2,0,0,8,0,0,0,76,144,1
8,25,0,2,0,36,2,32,16,0,1,0,0,2,0,2,0,8,30,6,28,0,25,28,0,9,12,0,13,0,0,4,4,0,0,0,0,36,15,16,19,8,3,0,0,4,0,0,0,75,70,0
0,32,0,0,0,16,11,0,16,1,1,3,3,3,3,1,0,4,0,2,28,4,34,34,0,2,0,0,14,3,0,3,3,1,0,0,0,0,3,0,44,8,1,0,0,7,6,6,0,76,119,2
0,45,0,0,45,4,11,0,5,0,1,0,0,0,0,4,0,0,4,7,42,0,4,0,0,1,0,0,15,3,0,0,0,0,0,0,0,0,3,36,4,25,3,0,0,19,0,0,0,76,41,1
0,38,11,11,0,57,0,54,30,1,1,-1,0,0,0,4,0,28,45,6,38,0,0,0,0,9,25,2,16,0,0,3,3,0,0,1,0,34,31,0,16,12,3,0,0,1,0,0,1,70,17,1
0,38,8,8,4,46,2,45,19,1,1,-1,3,0,3,4,0,12,45,3,32,0,8,8,0,7,0,0,17,2,0,4,4,1,0,0,0,44,7,0,8,19,3,1,0,16,10,10,1,71,23,2
0,44,0,0,0,32,12,36,21,0,1,0,0,-1,0,5,0,22,34,3,40,19,4,4,0,4,8,0,18,0,0,4,4,0,0,0,0,34,11,0,16,8,6,0,0,15,6,6,0,75,24,2
0,44,8,8,0,46,2,38,23,0,0,0,1,2,1,2,0,25,34,6,58,0,0,8,0,2,28,0,19,0,0,5,5,1,0,0,0,30,28,0,19,25,4,0,0,1,10,10,0,70,40,1
0,36,8,8,0,38,12,42,17,1,0,0,0,1,0,3,0,25,38,0,10,8,4,0,0,7,4,2,20,2,0,4,4,0,0,0,0,40,15,0,12,25,3,0,0,3,10,10,0,70,32,2
4,59,0,11,42,12,2,16,30,1,1,1,0,3,0,1,0,4,4,2,38,0,0,4,0,7,0,0,21,0,0,0,0,0,0,0,0,0,3,40,0,19,1,1,0,20,6,6,0,70,66,0
0,36,0,7,0,47,0,50,5,0,1,0,0,1,0,3,0,12,40,5,32,0,4,0,0,11,22,0,22,1,0,4,4,0,0,0,0,32,25,0,8,8,5,0,0,1,6,8,0,69,19,2
8,30,0,0,0,34,0,32,14,1,0,0,3,2,3,2,0,32,19,1,50,0,28,36,0,1,25,2,23,0,0,3,3,1,0,0,0,30,31,16,25,8,5,0,0,4,0,0,0,74,60,0
4,38,6,6,0,50,2,54,11,1,1,-1,1,-1,1,5,0,32,50,4,16,0,8,0,0,7,0,0,24,0,0,5,5,0,0,1,0,40,11,16,0,0,5,0,0,3,9,9,1,71,4,0
0,40,0,0,0,38,12,42,13,0,1,1,3,3,3,1,0,16,42,2,46,45,22,8,0,4,25,4,25,0,0,4,4,1,0,0,0,32,25,0,36,19,4,1,0,14,6,6,1,72,73,1
4,46,0,0,0,42,14,36,23,1,0,0,1,2,1,2,0,25,30,5,38,28,0,0,0,7,8,0,26,2,0,5,5,0,0,0,4,38,11,0,34,12,2,1,0,13,6,6,0,74,68,0
0,36,0,2,0,22,3,12,17,0,1,3,0,4,0,0,0,0,4,0,45,0,45,45,0,4,0,2,27,2,0,4,4,0,0,0,0,4,3,0,47,32,6,1,0,8,0,0,1,77,154,1
0,32,8,0,0,16,1,0,9,0,0,3,0,4,0,0,0,0,16,5,16,8,36,38,0,11,0,0,28,2,0,4,4,1,0,0,0,0,3,0,44,25,5,0,0,8,10,6,0,75,139,1
4,42,10,10,0,38,11,38,24,1,0,0,1,2,1,2,0,25,38,0,42,0,25,22,0,2,0,2,29,0,0,5,5,0,0,0,0,38,15,16,19,12,3,0,0,4,6,6,1,74,69,2
0,46,11,0,0,53,0,49,16,0,1,0,0,2,0,2,0,16,47,0,40,4,8,0,0,1,42,0,30,2,0,5,5,0,0,0,4,40,43,0,25,12,3,1,0,1,6,6,1,71,45,0
0,34,10,10,0,25,11,12,28,1,1,2,0,5,0,-1,0,0,22,7,36,28,0,0,0,2,0,4,31,3,0,4,4,0,0,0,0,4,3,0,38,16,4,0,0,12,6,6,0,72,122,2
30,38,0,0,0,30,1,28,18,0,1,0,1,1,1,3,0,0,29,3,36,4,8,0,0,1,8,0,32,0,0,0,0,1,0,0,42,8,25,0,8,10,6,0,0,0,3,7,0,73,41,0
0,42,11,0,0,45,3,30,7,1,1,0,1,1,1,3,0,22,36,3,45,44,0,8,1,9,16,0,33,1,0,2,2,1,0,0,0,34,11,0,32,16,4,1,0,13,0,0,1,78,66,1
0,40,0,1,0,38,7,38,16,1,1,0,0,1,0,3,0,4,40,0,42,28,0,0,0,11,12,3,34,0,1,4,4,0,0,0,0,22,3,0,28,19,5,0,0,13,0,0,0,76,54,0
36,53,0,0,0,49,3,44,24,0,1,-1,0,0,0,4,1,25,48,0,28,0,0,4,0,9,12,3,35,2,0,0,0,1,0,0,44,44,25,0,8,2,3,0,1,0,3,7,0,70,18,2
0,34,10,10,0,45,14,38,11,0,1,-1,0,0,0,4,0,16,42,6,28,19,8,0,0,7,16,2,36,2,0,5,5,0,0,1,0,45,19,0,8,19,4,1,0,17,6,6,0,72,25,2
0,36,7,0,0,34,7,36,13,1,0,-1,3,0,3,4,0,0,30,6,28,30,0,0,0,9,4,0,37,0,0,4,4,1,0,1,0,40,15,0,25,19,4,1,0,17,8,6,0,73,36,2
0,25,6,6,0,8,3,19,7,0,0,1,0,4,0,0,0,0,16,5,44,30,4,0,0,10,0,0,38,0,0,5,5,0,0,0,0,0,3,0,40,8,6,0,0,12,9,9,0,73,121,0
0,40,0,0,0,32,3,22,27,0,1,1,0,4,0,0,0,16,34,1,32,0,28,30,0,11,25,2,39,1,1,4,4,1,0,0,30,32,22,0,32,32,3,1,0,2,6,6,0,71,89,1
0,50,0,0,0,44,14,45,24,1,0,-1,1,0,1,4,0,28,38,3,42,32,8,4,0,7,4,0,40,0,0,1,1,1,0,1,0,44,15,0,28,16,3,0,0,17,6,6,1,76,50,2
0,40,8,0,0,45,4,36,18,0,1,-1,0,0,0,4,0,0,38,6,36,0,0,0,0,1,0,0,41,0,0,4,4,2,0,0,0,36,3,16,4,4,5,0,0,16,10,7,0,71,23,0
0,34,0,0,0,31,2,35,14,0,0,1,3,3,3,1,0,0,32,6,32,38,0,0,0,10,0,0,42,2,0,2,2,0,0,0,0,22,3,0,43,7,4,0,0,10,0,0,1,74,99,1
0,44,8,8,0,38,3,42,29,0,1,1,1,3,1,1,0,25,38,5,28,0,4,0,0,3,28,0,43,3,0,4,4,1,0,0,4,28,31,0,19,8,4,1,0,1,10,10,0,69,44,2
47,44,0,0,0,28,11,27,25,1,1,-1,3,0,3,4,0,8,27,7,16,8,8,8,0,7,12,0,44,0,0,0,0,2,0,0,53,25,22,0,16,30,5,0,1,0,3,7,1,76,53,2
0,47,0,0,0,38,0,38,26,1,0,0,1,2,1,2,0,30,32,1,36,0,22,25,0,4,12,1,45,1,0,4,4,2,0,0,0,38,15,0,16,25,4,0,0,4,6,6,0,75,75,0
