First Name,Last Name,PPOS,TGID,Height,Weight
Jeremiah,Smith,3,70,75,55
Ellis,Robinson,16,30,72,20
Jaylen,Mbakwe,16,3,72,15
Ryan,Williams,3,3,73,10
Cameron,Coleman,3,9,76,25
Justin,Williams,14,30,74,45
D.J.,Lagway,0,27,75,65
Julian,Sayin,0,70,74,30
L.J.,McCray,10,27,79,105
Dylan,Raiola,0,58,75,60
Kobe,Black,16,92,73,30
K.J.,Bolden,18,30,73,30
Dominick,McKinley,12,45,77,130
Terry,Bussey,3,93,71,25
Williams,Nwaneri,11,56,79,100
Micah,Hudson,3,94,73,35
Joshisa,Trader,3,49,73,20
Joseph,Jonah-Ajonye,12,30,76,95
Aaron,Scott,16,70,73,20
Justin,Scott,12,49,77,150
Armondo,Blount,10,49,76,90
Aydin,Breland,12,74,77,150
Bryce,West,16,70,72,25
Eddrick,Houston,10,70,75,100
C.J.,Carr,0,68,75,40
Mylan,Graham,3,70,73,10
Ify,Obidegwu,16,74,74,35
Ny,Carr,3,49,72,15
Aaron,Chiles,14,27,75,65
Zay,Mincey,18,3,75,20
Cam,Williams,3,68,74,25
Booker,Pickett,15,49,76,45
T.J.,Moore,3,21,75,30
Air,Noland,0,70,75,35
JacQawn,McRoy,5,74,81,205
Michael,VanBuren,0,55,72,30
Nathaniel,Frazier,1,30,71,45
Brian,Robinson,11,42,77,95
Caleb,Odom,4,3,77,55
Benedict,Umeh,10,87,77,100
Jordan,Thomas,12,30,78,125
Kyngstonn,Viliamu-Asa,13,68,74,65
Ethan,Grunkemeyer,0,76,74,30
Dre'lon,Miller,16,22,72,45
Adarius,Hayes,13,49,76,50
Jonathan,Paylor,16,63,70,15
Xavier,Jordan,3,102,74,10
Amir,Jackson,4,27,77,60
Kameron,Davis,1,28,70,45
Grant,Brix,5,58,78,115
Quinton,Martin,1,76,74,35
Guerby,Lambert,5,68,78,125
Kamarion,Franklin,10,73,78,110
Walter,Matthews,4,102,79,85
Daniel,Calhoun,5,30,79,195
Artavius,Jones,12,49,75,120
Jordan,Marshall,1,51,71,35
Gatlin,Bair,3,74,74,30
Jonathan,Daniels,5,28,77,120
Garrett,Stover,17,70,73,40
Jamari,Howard,16,28,74,20
Isaiah,Garcia,5,103,77,120
Kristopher,Jones,15,30,75,60
Christian,Bentancur,4,21,77,80
Dilin,Jones,1,114,72,30
Carter,Nelson,4,58,76,50
Blake,Ivy,9,93,77,125
Kamron,Mikell,17,22,73,20
Jaylen,Heyward,18,18,72,20
NiTareon,Tuggle,3,30,73,35
Donovan,Harbour,6,76,76,150
Dwight,Phillips,16,30,71,15
Jason,Zandamela,7,27,76,110
Ian,Moore,9,70,78,140
William,Echoles,12,73,75,135
Ryan,Pellum,3,74,72,20
Kamar,Mothudi,14,74,75,65
Jonathan,Echols,4,144,77,60
Isendre,Ahfua,6,93,77,170
Justin,Greene,10,30,77,100
