GTOD,Away,Home,SESI,SEWN,GDAT,SEWT
1140,10,1,0,1,5,1
930,12,3,0,1,5,1
1185,5,8,0,1,5,1
720,2,11,0,2,5,2
1080,7,4,0,2,5,2
720,9,6,0,2,5,2
1200,1,4,0,3,5,3
930,2,5,0,3,5,3
750,3,6,0,3,4,3
720,7,10,0,3,5,3
930,8,11,0,3,5,3
750,9,12,0,3,5,3
1170,7,1,0,4,5,4
1185,8,2,0,4,4,4
720,9,3,0,4,5,4
720,10,4,0,4,5,4
930,11,5,0,4,4,4
930,12,6,0,4,5,4
930,5,1,0,5,5,5
1080,4,3,0,5,5,5
930,12,8,0,5,5,5
930,6,2,0,6,5,6
1200,11,7,0,6,5,6
930,10,9,0,6,5,6
1140,1,8,0,7,5,7
930,3,7,0,7,5,7
1140,5,12,0,7,5,7
750,2,9,0,8,4,8
1200,4,11,0,8,5,8
1200,6,10,0,8,5,8
750,1,6,0,9,4,9
930,2,4,0,9,5,9
1200,3,5,0,9,5,9
1200,7,12,0,9,5,9
720,8,10,0,9,5,9
750,9,11,0,9,5,9
750,7,2,0,10,5,10
750,8,3,0,10,5,10
930,9,1,0,10,5,10
930,10,5,0,10,5,10
1200,11,6,0,10,5,10
930,12,4,0,10,4,10
1185,1,2,0,11,5,11
750,4,5,0,11,5,11
1185,7,8,0,11,5,11
720,10,11,0,11,5,11
930,3,1,0,12,5,12
930,6,4,0,12,5,12
1140,9,7,0,12,5,12
720,12,10,0,12,5,12
930,2,3,0,13,5,13
1080,5,6,0,13,5,13
1185,8,9,0,14,5,14
720,11,12,0,15,5,15
930,8,2,1,1,5,1
720,11,5,1,1,5,1
930,1,7,1,2,4,2
1080,3,9,1,2,5,2
1200,4,10,1,2,5,2
750,6,12,1,2,5,2
720,1,10,1,3,5,3
750,2,11,1,3,5,3
930,3,12,1,3,5,3
930,4,7,1,3,5,3
930,5,8,1,3,5,3
930,6,9,1,3,5,3
1185,4,1,1,4,5,4
1200,5,2,1,4,4,4
750,6,3,1,4,5,4
930,10,7,1,4,5,4
1200,11,8,1,4,5,4
720,12,9,1,4,5,4
750,11,1,1,5,5,5
750,10,3,1,5,5,5
930,9,5,1,5,5,5
750,12,2,1,6,5,6
930,8,4,1,6,5,6
750,7,6,1,6,5,6
930,2,4,1,7,5,7
1140,1,6,1,7,5,7
1140,9,11,1,7,5,7
930,3,5,1,8,5,8
1200,8,10,1,8,5,8
1200,7,12,1,8,5,8
750,1,12,1,9,5,9
930,2,10,1,9,5,9
930,3,11,1,9,5,9
1170,4,9,1,9,5,9
1200,5,7,1,9,5,9
1170,6,8,1,9,5,9
1185,4,3,1,10,5,10
720,5,1,1,10,5,10
720,6,2,1,10,5,10
930,10,9,1,10,5,10
930,11,7,1,10,5,10
1200,12,8,1,10,5,10
720,3,2,1,11,5,11
930,6,5,1,11,5,11
