GTOD,GATG,GHTG,SESI,SEWN,GDAT,SEWT
990,2,16,0,3,5,3
690,8,14,0,3,5,3
810,3,15,0,3,5,3
690,11,5,0,3,5,3
1110,4,7,0,3,5,3
690,9,1,0,3,5,3
570,6,12,0,3,4,3
570,10,13,0,3,5,3
690,14,5,0,4,5,4
540,10,8,0,4,5,4
810,3,9,0,4,5,4
810,1,4,0,4,5,4
1020,16,6,0,4,5,4
990,13,11,0,4,5,4
870,7,12,0,4,5,4
930,15,2,0,4,5,4
750,5,12,0,5,3,5
1080,14,10,0,5,3,5
600,16,1,0,5,5,5
780,2,13,0,5,5,5
810,9,8,0,5,5,5
1050,15,4,0,5,5,5
690,11,7,0,5,5,5
960,6,3,0,5,5,5
990,7,1,0,6,5,6
660,3,11,0,6,5,6
810,4,14,0,6,5,6
1110,8,16,0,6,5,6
870,6,9,0,6,5,6
840,13,15,0,6,5,6
960,12,10,0,6,5,6
780,5,2,0,6,5,6
1050,12,2,0,7,5,7
810,1,6,0,7,5,7
840,10,3,0,7,5,7
1200,5,8,0,7,5,7
840,4,16,0,7,5,7
720,11,14,0,7,5,7
930,7,9,0,7,5,7
1260,1,10,0,8,5,8
1200,14,6,0,8,5,8
780,12,8,0,8,5,8
1110,4,13,0,8,5,8
1140,9,16,0,8,5,8
540,15,5,0,8,5,8
870,3,7,0,8,5,8
1050,2,11,0,8,5,8
1080,10,11,0,9,5,9
990,14,15,0,9,5,9
1110,5,9,0,9,5,9
540,8,2,0,9,5,9
630,13,3,0,9,5,9
630,16,7,0,9,5,9
690,12,4,0,9,5,9
600,2,3,0,10,5,10
570,8,13,0,10,4,10
1170,16,12,0,10,5,10
630,9,14,0,10,4,10
600,7,5,0,10,5,10
1170,11,4,0,10,5,10
930,1,15,0,10,5,10
750,6,10,0,10,4,10
720,1,2,0,11,5,11
540,13,14,0,11,5,11
810,7,8,0,11,5,11
660,3,4,0,12,5,12
1170,15,16,0,12,5,12
1170,9,10,0,12,5,12
1230,5,6,0,13,5,13
1200,11,12,0,13,5,13
570,13,1,0,14,5,14
