GTOD,GATG,GHTG,SESI,SEWN,GDAT,SEWT
1170,13,8,0,3,5,3
1110,5,17,0,3,4,3
930,4,2,0,3,5,3
1170,9,11,0,3,5,3
720,6,1,0,3,5,3
1050,3,16,0,3,5,3
720,7,12,0,3,3,3
930,10,15,0,3,5,3
690,10,4,0,4,5,4
1230,2,7,0,4,5,4
870,16,5,0,4,5,4
1020,1,13,0,4,5,4
600,11,15,0,4,5,4
600,3,8,0,4,5,4
810,6,12,0,4,4,4
1230,17,14,0,4,5,4
810,14,10,0,5,4,5
630,1,12,0,5,5,5
1140,4,16,0,5,5,5
1050,17,13,0,5,5,5
540,9,3,0,5,5,5
630,15,7,0,5,5,5
1140,11,2,0,5,5,5
690,8,5,0,5,5,5
1170,15,4,0,6,5,6
1020,5,1,0,6,5,6
630,12,8,0,6,5,6
1050,13,3,0,6,5,6
1080,2,17,0,6,5,6
870,7,14,0,6,5,6
1080,6,11,0,6,5,6
960,16,10,0,6,5,6
840,10,5,0,7,5,7
840,3,1,0,7,5,7
1020,16,9,0,7,5,7
1230,8,15,0,7,5,7
1230,12,14,0,7,5,7
840,17,4,0,7,5,7
540,2,13,0,7,5,7
1200,11,7,0,7,5,7
840,10,2,0,8,5,8
810,1,8,0,8,5,8
720,15,17,0,8,5,8
1230,4,12,0,8,5,8
690,13,6,0,8,5,8
810,7,9,0,8,5,8
1200,5,3,0,8,5,8
870,14,11,0,8,5,8
1140,6,16,0,9,5,9
540,14,9,0,9,5,9
960,9,6,0,10,5,10
840,9,10,0,11,5,11
1170,15,16,0,11,4,11
1230,1,2,0,11,5,11
750,3,4,0,11,4,11
840,12,13,0,11,5,11
1110,7,6,0,11,5,11
810,8,7,0,12,3,12
1170,11,10,0,12,5,12
690,16,17,0,12,5,12
1230,4,5,0,12,5,12
1110,13,14,0,12,5,12
960,5,6,0,13,5,13
750,8,9,0,13,5,13
540,12,11,0,13,5,13
630,17,1,0,13,5,13
1110,14,15,0,13,5,13
690,2,3,0,13,5,13
1230,9,14,1,3,5,3
690,13,11,1,3,5,3
660,8,6,1,3,5,3
990,4,16,1,3,5,3
1230,1,3,1,3,5,3
720,7,10,1,3,5,3
990,17,5,1,3,5,3
900,12,15,1,3,5,3
660,16,14,1,4,4,4
870,15,10,1,4,5,4
660,1,11,1,4,5,4
1050,8,17,1,4,3,4
810,12,4,1,4,5,4
1110,5,13,1,4,5,4
990,6,2,1,4,5,4
1050,3,7,1,4,5,4
720,7,17,1,5,5,5
780,16,1,1,5,5,5
540,6,15,1,5,5,5
690,13,3,1,5,5,5
570,12,9,1,5,5,5
780,4,11,1,5,5,5
690,10,2,1,5,5,5
600,8,5,1,5,5,5
1080,3,6,1,6,5,6
1260,5,10,1,6,5,6
1200,15,11,1,6,5,6
750,14,8,1,6,4,6
990,12,7,1,6,5,6
1170,17,9,1,6,5,6
720,2,4,1,6,5,6
1020,16,13,1,6,5,6
840,4,17,1,7,3,7
570,3,16,1,7,5,7
780,10,6,1,7,5,7
1200,9,15,1,7,5,7
930,11,7,1,7,5,7
1200,8,12,1,7,5,7
1260,14,1,1,7,5,7
540,2,5,1,7,5,7
930,5,14,1,8,5,8
870,9,3,1,8,5,8
1020,17,2,1,8,5,8
1110,13,8,1,8,5,8
780,15,1,1,8,5,8
1020,11,16,1,8,5,8
870,6,12,1,8,5,8
540,7,4,1,8,5,8
870,2,9,1,9,5,9
1260,1,13,1,9,5,9
1110,10,14,1,9,5,9
900,1,2,1,11,4,11
870,3,4,1,11,5,11
780,6,7,1,11,5,11
600,10,9,1,11,5,11
1020,15,16,1,11,5,11
660,13,12,1,11,5,11
840,4,5,1,12,5,12
1140,11,10,1,12,5,12
600,14,13,1,12,5,12
750,7,8,1,12,5,12
540,17,1,1,12,5,12
930,14,15,1,13,4,13
990,2,3,1,13,4,13
1080,9,8,1,13,5,13
1260,16,17,1,13,5,13
840,11,12,1,13,5,13
1020,5,6,1,13,5,13
1260,8,6,2,3,5,3
1200,16,11,2,3,5,3
870,2,5,2,3,5,3
750,12,9,2,3,5,3
1140,4,17,2,3,5,3
1110,3,13,2,3,5,3
930,14,10,2,3,5,3
1080,7,15,2,3,5,3
1110,2,15,2,4,5,4
1140,3,14,2,4,5,4
1050,10,12,2,4,5,4
780,9,4,2,4,5,4
1080,5,11,2,4,5,4
600,17,8,2,4,5,4
810,16,7,2,4,4,4
990,13,6,2,4,5,4
900,7,3,2,5,5,5
930,12,17,2,5,5,5
660,5,14,2,5,5,5
660,15,4,2,5,5,5
870,11,13,2,5,5,5
570,8,1,2,5,5,5
1020,10,6,2,5,5,5
1140,16,2,2,5,5,5
1140,13,1,2,6,5,6
540,7,9,2,6,5,6
1050,5,3,2,6,5,6
810,15,10,2,6,5,6
660,14,16,2,6,5,6
1050,11,8,2,6,5,6
1080,6,12,2,6,5,6
780,4,2,2,6,5,6
810,11,14,2,7,5,7
870,17,7,2,7,5,7
1020,9,2,2,7,5,7
930,16,10,2,7,5,7
960,13,15,2,7,5,7
1080,4,6,2,7,5,7
1110,8,3,2,7,5,7
1140,1,5,2,7,5,7
1260,14,4,2,8,5,8
1140,2,17,2,8,5,8
930,1,7,2,8,5,8
1140,10,5,2,8,5,8
1230,9,11,2,8,5,8
780,8,13,2,8,5,8
780,3,16,2,8,5,8
900,12,15,2,8,5,8
1260,6,1,2,9,5,9
1140,17,9,2,9,5,9
720,1,12,2,10,5,10
750,4,3,2,11,5,11
630,15,16,2,11,4,11
750,10,9,2,11,5,11
1140,6,7,2,11,5,11
1200,13,12,2,11,5,11
690,2,1,2,11,5,11
630,11,10,2,12,5,12
1020,14,13,2,12,5,12
1260,1,17,2,12,5,12
1170,7,8,2,12,5,12
1260,5,4,2,12,3,12
1020,6,5,2,13,5,13
1260,3,2,2,13,5,13
1110,17,16,2,13,5,13
750,15,14,2,13,5,13
1050,12,11,2,13,5,13
930,9,8,2,13,5,13
1200,3,8,3,3,5,3
1050,17,5,3,3,5,3
900,10,7,3,3,5,3
1230,11,14,3,3,5,3
750,4,6,3,3,5,3
750,1,9,3,3,5,3
900,15,13,3,3,5,3
570,12,2,3,3,4,3
660,7,17,3,4,5,4
960,16,9,3,4,5,4
630,14,2,3,4,5,4
900,8,13,3,4,5,4
1170,15,12,3,4,5,4
1110,10,6,3,4,5,4
960,4,11,3,4,4,4
900,1,5,3,4,5,4
1200,8,16,3,5,5,5
870,9,14,3,5,5,5
900,1,4,3,5,4,5
1050,5,7,3,5,5,5
660,13,17,3,5,4,5
