GTOD,GATG,GHTG,SESI,SEWN,GDAT,SEWT
930,1,7,0,3,5,3
1200,3,9,0,3,5,3
930,2,8,0,3,5,3
930,5,11,0,3,4,3
1200,4,10,0,3,5,3
930,6,12,0,3,5,3
1200,7,13,0,4,5,4
1200,9,15,0,4,4,4
1200,8,14,0,4,5,4
1200,11,17,0,4,5,4
750,10,16,0,4,5,4
750,12,18,0,4,5,4
1080,13,1,0,5,5,5
930,15,3,0,5,4,5
1080,14,2,0,5,4,5
750,17,5,0,5,5,5
1080,16,4,0,5,5,5
1200,18,6,0,5,5,5
750,7,3,0,6,5,6
750,9,2,0,6,5,6
1080,8,5,0,6,5,6
1200,11,4,0,6,5,6
1200,10,6,0,6,5,6
930,12,1,0,6,5,6
1200,13,15,0,6,5,6
1080,14,17,0,6,5,6
1080,16,18,0,6,5,6
930,12,13,0,8,5,8
1200,7,15,0,8,4,8
750,9,14,0,8,5,8
1080,8,17,0,8,5,8
750,11,16,0,8,5,8
930,10,18,0,8,5,8
930,1,3,0,8,5,8
930,2,5,0,8,5,8
1080,4,6,0,8,5,8
1080,1,15,0,9,5,9
930,3,14,0,9,5,9
750,2,17,0,9,5,9
1200,5,16,0,9,5,9
1200,4,18,0,9,5,9
1080,6,13,0,9,5,9
1080,7,9,0,9,5,9
930,8,11,0,9,5,9
930,10,12,0,9,5,9
1200,4,1,0,10,5,10
1080,5,3,0,10,5,10
1200,6,2,0,10,4,10
1080,10,7,0,10,5,10
750,11,9,0,10,5,10
1080,12,8,0,10,5,10
930,16,13,0,10,5,10
930,17,15,0,10,5,10
750,18,14,0,10,5,10
1200,1,6,0,11,5,11
1200,2,3,0,11,5,11
930,5,4,0,11,5,11
1200,7,12,0,11,5,11
750,8,9,0,11,5,11
750,11,10,0,11,5,11
930,13,18,0,11,5,11
1080,14,15,0,11,5,11
930,17,16,0,11,5,11
930,5,1,0,12,5,12
1200,3,6,0,12,5,12
750,4,2,0,12,5,12
1200,11,7,0,12,5,12
1200,9,12,0,12,5,12
930,10,8,0,12,5,12
1200,17,13,0,12,4,12
750,15,18,0,12,5,12
1200,16,14,0,12,5,12
750,1,2,0,13,5,13
1200,3,4,0,13,5,13
750,6,5,0,13,5,13
750,7,8,0,13,5,13
930,9,10,0,13,5,13
1080,12,11,0,13,5,13
1200,13,14,0,13,5,13
1080,15,16,0,13,5,13
1200,18,17,0,13,5,13
1080,9,1,1,1,5,1
1080,7,6,1,1,5,1
930,8,3,1,2,5,2
1200,12,4,1,2,5,2
930,11,2,1,3,5,3
750,10,5,1,3,5,3
1080,15,7,1,4,5,4
930,14,9,1,4,5,4
1080,17,8,1,4,5,4
1080,16,11,1,4,5,4
930,18,10,1,4,5,4
930,13,12,1,4,5,4
1200,3,13,1,5,5,5
930,2,15,1,5,5,5
930,5,14,1,5,5,5
750,4,17,1,5,5,5
930,6,16,1,5,5,5
1080,1,18,1,5,5,5
1080,15,12,1,6,4,6
1200,14,7,1,6,5,6
1080,17,9,1,6,5,6
1200,16,8,1,6,4,6
1200,18,11,1,6,5,6
930,13,10,1,6,5,6
1080,3,1,1,6,5,6
750,5,2,1,6,5,6
750,6,4,1,6,5,6
930,2,7,1,7,5,7
1200,4,8,1,7,5,7
1200,1,10,1,7,5,7
930,15,13,1,7,5,7
1200,18,16,1,7,5,7
1080,5,9,1,8,5,8
930,6,11,1,8,5,8
930,3,12,1,8,5,8
1200,17,14,1,8,5,8
1200,6,1,1,9,5,9
750,3,2,1,9,5,9
1080,4,5,1,9,5,9
1080,12,7,1,9,5,9
1200,9,8,1,9,5,9
930,10,11,1,9,5,9
1200,18,13,1,9,5,9
750,15,14,1,9,5,9
1080,16,17,1,9,5,9
1200,1,4,1,10,5,10
1080,3,5,1,10,5,10
1200,2,6,1,10,5,10
750,7,10,1,10,5,10
750,9,11,1,10,5,10
750,8,12,1,10,5,10
1200,13,16,1,10,5,10
1200,15,17,1,10,5,10
930,14,18,1,10,5,10
1200,14,1,1,11,5,11
1080,17,3,1,11,5,11
1080,16,2,1,11,5,11
1200,18,5,1,11,4,11
750,13,4,1,11,5,11
1080,15,6,1,11,5,11
1080,9,7,1,11,5,11
1080,11,8,1,11,5,11
1200,12,10,1,11,5,11
1200,1,5,1,12,5,12
750,6,3,1,12,5,12
750,2,4,1,12,5,12
1080,7,11,1,12,5,12
930,12,9,1,12,5,12
750,8,10,1,12,5,12
