Team Name,UFID,TOID,TUCO
Air Force,0,1,1
Air Force,1,1,0
Air Force,2,1,2
Air Force,3,1,3
Akron,4,2,1
Akron,5,2,0
Alabama,8,3,1
Alabama,9,3,0
Alabama A&M,6,116,1
Alabama A&M,7,116,0
Alabama State,14,117,1
Alabama State,15,117,0
Alabama State,16,117,2
Alabama State,17,117,3
Alcorn State,10,118,1
Alcorn State,11,118,0
Appalachian State,18,188,1
Appalachian State,19,188,0
Appalachian State,803,188,2
Appalachian State,804,188,3
Arizona,20,4,1
Arizona,21,4,0
Arizona,22,4,2
Arizona,23,4,3
Arizona State,38,5,1
Arizona State,39,5,0
Arizona State,40,5,2
Arizona State,41,5,3
Ark - Pine Bluff,28,119,1
Ark - Pine Bluff,29,119,0
Arkansas,24,6,1
Arkansas,25,6,0
Arkansas,26,6,2
Arkansas,27,6,3
Arkansas State,30,7,1
Arkansas State,31,7,0
Army,32,8,1
Army,33,8,0
Army,34,8,2
Army,35,8,3
Auburn,36,9,1
Auburn,37,9,0
Ball State,42,10,1
Ball State,43,10,0
Ball State,44,10,2
Ball State,45,10,3
Baylor,46,11,1
Baylor,47,11,0
Baylor,48,11,2
Baylor,49,11,3
Bethune-Cookman,50,120,1
Bethune-Cookman,51,120,0
Bethune-Cookman,52,120,2
Bethune-Cookman,53,120,3
Boise State,54,12,1
Boise State,55,12,0
Boston College,56,13,1
Boston College,57,13,0
Bowling Green,58,14,1
Bowling Green,59,14,0
Brown,60,121,1
Brown,61,121,0
Buffalo,62,15,1
Buffalo,63,15,0
Buffalo,744,15,2
Buffalo,745,15,3
BYU,64,16,1
BYU,65,16,0
Cal,66,17,1
Cal,67,17,0
Cal,68,17,2
Cal,69,17,3
Central Michigan,83,19,1
Central Michigan,84,19,0
Central Michigan,85,19,2
Central Michigan,86,19,3
Charlotte,331,183,1
Charlotte,332,183,0
Chattanooga,70,194,1
Chattanooga,71,194,0
Cincinnati,72,20,1
Cincinnati,73,20,0
Cincinnati,74,20,2
Cincinnati,75,20,3
Clemson,78,21,1
Clemson,79,21,0
Clemson,80,21,2
Clemson,81,21,3
Clemson,82,21,4
Clemson,805,21,5
Coastal Carolina,175,178,1
Coastal Carolina,176,178,0
Colorado,87,22,1
Colorado,88,22,0
Colorado,89,22,2
Colorado,90,22,3
Colorado,91,22,4
Colorado,92,22,5
Colorado State,93,23,1
Colorado State,94,23,0
Colorado State,95,23,2
Colorado State,96,23,3
Columbia,97,122,1
Columbia,98,122,0
Connecticut,464,100,1
Connecticut,465,100,0
Connecticut,466,100,2
