TGID,CFB-USA,TDNA
1,Air Force Falcons,Air Force
2,Akron Zips,Akron
3,Alabama Crimson Tide,Alabama
4,Arizona Wildcats,Arizona
5,Arizona State Sun Devils,Arizona State
6,Arkansas Razorbacks,Arkansas
7,Arkansas State Indians,Arkansas State
8,USMA Black Knights,Army
9,Auburn Tigers,Auburn
10,Ball State Cardinals,Ball State
11,Baylor Bears,Baylor
12,Boise State Broncos,Boise State
13,Boston College Eagles,Boston College
14,Bowling Green Falcons,Bowling Green
15,Brigham Young Cougars,BYU
16,California Golden Bears,Cal
17,Central Florida Golden Knights,UCF
18,CMU Chippewas,Central Michigan
19,Cincinnati Bearcats,Cincinnati
20,Clemson Tigers,Clemson
21,Colorado Buffaloes,Colorado
22,Colorado State Rams,Colorado State
23,Duke Blue Devils,Duke
24,East Carolina Pirates,ECU
25,EMU Eagles,Eastern Michigan
26,Florida Gators,Florida
27,Florida State Seminoles,Florida State
28,Fresno State Bulldogs,Fresno State
29,Georgia Bulldogs,Georgia
30,Georgia Tech Yellow Jackets,Georgia Tech
31,Hawaii Rainbow Warriors,Hawaii
32,Houston Cougars,Houston
33,Idaho Vandals,Idaho
34,Illinois Fighting Illini,Illinois
35,Indiana Hoosiers,Indiana
36,Iowa Hawkeyes,Iowa
37,Iowa State Cyclones,Iowa State
38,Kansas Jayhawks,Kansas
39,Kansas State Wildcats,Kansas State
40,Kent Golden Flashes,Kent State
41,Kentucky Wildcats,Kentucky
42,Louisiana Tech Bulldogs,Louisiana Tech
43,Louisville Cardinals,Louisville
44,LSU Tigers,LSU
45,Maryland Terrapins,Maryland
46,Memphis Tigers,Memphis
47,Miami Hurricanes,Miami
48,Miami of Ohio RedHawks,Miami University
49,Michigan Wolverines,Michigan
50,Michigan State Spartans,Michigan State
51,Minnesota Golden Gophers,Minnesota
52,Mississippi State Bulldogs,Mississippi State
53,Missouri Tigers,Missouri
54,Navy Midshipmen,Navy
55,Nebraska Cornhuskers,Nebraska
56,Nevada Wolf Pack,Nevada
57,New Mexico Lobos,New Mexico
58,New Mexico State Aggies,New Mexico State
59,North Carolina Tar Heels,North Carolina
60,N.C. State Wolfpack,NC State
61,North Texas Mascot,North Texas
62,Northeast LA. Indians,UL Monroe
63,NIU Huskies,Northern Illinois
64,Northwestern Wildcats,Northwestern
65,Notre Dame Fighting Irish,Notre Dame
66,Ohio Bobcats,Ohio
67,Ohio State Buckeyes,Ohio State
68,Oklahoma Sooners,Oklahoma
69,Oklahoma State Cowboys,Oklahoma State
70,Ole Miss Rebels,Ole Miss
71,Oregon Ducks,Oregon
72,Oregon State Beavers,Oregon State
73,Penn State Nittany Lions,Penn State
74,Pittsburgh Panthers,Pittsburgh
75,Purdue Boilermakers,Purdue
76,Rice Owls,Rice
77,Rutgers Scarlet Knights,Rutgers
78,San Diego State Aztecs,San Diego State
79,San Jose State Spartan,San Jose State
80,SMU Mustangs,SMU
81,South Carolina Gamecocks,South Carolina
82,Southern Mississippi Golden Eagles,Southern Miss
83,USL Ragin Cajuns,UL Lafayette
84,Stanford Cardinal,Stanford
85,Syracuse Orange,Syracuse
86,TCU Horned Frogs,TCU
87,Temple Owls,Temple
88,Tennessee Volunteers,Tennessee
89,Texas Longhorns,Texas
90,Texas A&M Aggies,Texas A&M
91,Texas Tech Red Raiders,Texas Tech
92,Toledo Rockets,Toledo
93,Tulane Green Wave,Tulane
94,Tulsa Golden Hurricane,Tulsa
95,UAB Blazers,UAB
96,UCLA Bruins,UCLA
97,BLANK,BLANK
98,USC Trojans,USC
99,Utah Utes,Utah
100,Utah State Aggies,Utah State
101,UTEP Miners,UTEP
102,Vanderbilt Commodores,Vanderbilt
103,Virginia Cavaliers,Virginia
104,Virginia Tech Hokies,Virginia Tech
105,Wake Forest Demon Deacons,Wake Forest
106,Washington Huskies,Washington
107,Washington State Cougars,Washington State
108,West Virginia Mountaineers,West Virginia
109,WMU Broncos,Western Michigan
110,Wisconsin Badgers,Wisconsin
111,Wyoming Cowboys,Wyoming
