STID,State,Rain,Snow,Wind Days,Fair
0,Alabama,21,0,7,72
1,Alaska,18,40,8,34
2,Arizona,7,1,8,84
3,Arkansas,19,1,8,72
4,California,9,1,6,84
5,Colorado,12,16,10,62
6,Connecticut,22,10,6,62
7,Delaware,20,4,6,70
8,Florida,20,0,7,73
9,Georgia,20,0,7,73
10,Hawaii,15,0,7,78
11,Idaho,13,14,10,63
12,Illinois,19,8,9,64
13,Indiana,21,7,9,63
14,Iowa,17,14,9,60
15,Kansas,15,4,10,71
16,Kentucky,22,2,8,68
17,Louisiana,20,0,6,74
18,Maine,23,27,8,42
19,Maryland,21,5,10,64
20,Massachusetts,23,15,7,55
21,Michigan,20,20,8,52
22,Minnesota,15,21,9,55
23,Mississippi,20,0,7,73
24,Missouri,18,3,10,69
25,Montana,11,14,11,64
26,Nebraska,14,10,9,67
27,Nevada,6,4,8,82
28,New Hampshire,23,26,8,43
29,New Jersey,21,6,7,66
30,New Mexico,10,3,9,78
31,New York,23,15,7,55
32,North Carolina,21,1,9,69
33,North Dakota,11,17,9,63
34,Ohio,22,9,8,61
35,Oklahoma,15,1,8,76
36,Oregon,24,3,8,65
37,Pennsylvania,23,11,8,58
38,Rhode Island,22,12,7,59
39,South Carolina,20,0,8,72
40,South Dakota,13,14,11,62
41,Tennessee,22,1,8,69
42,Texas,13,0,7,80
43,Utah,12,13,9,66
44,Vermont,24,27,9,40
45,Virginia,20,3,10,67
46,Washington,23,5,7,65
47,West Virginia,24,6,9,61
48,Wisconsin,18,21,9,52
49,Wyoming,10,17,11,62
50,Intl,20,30,17,33
51,DC,21,5,48,26
